name,cycles,insts,cacherefs
keccakRound_translated_originals/keccakRound_MACROPARAMS-rsp_rdi_0x0_0__SPLITPARAMS-6_1_12_1.s,118.0,212.0,58.0
keccakRound_translated_originals/keccakRound_MACROPARAMS-rsp_rdi_0x0_0__SPLITPARAMS-6_1_12_2.s,113.0,212.0,58.0
keccakRound_translated_originals/keccakRound_MACROPARAMS-rsp_rdi_0x0_0__SPLITPARAMS-6_1_12_3.s,118.0,212.0,58.0
keccakRound_translated_originals/keccakRound_MACROPARAMS-rsp_rdi_0x0_1__SPLITPARAMS-3_1_12_1.s,97.75,186.0,52.0
keccakRound_translated_originals/keccakRound_MACROPARAMS-rsp_rdi_0x0_1__SPLITPARAMS-3_1_6_1.s,111.0,186.0,52.0
keccakRound_translated_originals/keccakRound_MACROPARAMS-rsp_rdi_0x0_1__SPLITPARAMS-3_1_6_2.s,102.75,186.0,52.0
keccakRound_translated_originals/keccakRound_MACROPARAMS-rsp_rdi_0x0_1__SPLITPARAMS-4_1_16_1.s,103.25,186.0,52.0
keccakRound_translated_originals/keccakRound_MACROPARAMS-rsp_rdi_0x0_1__SPLITPARAMS-4_1_8_1.s,119.0,186.0,52.0
keccakRound_translated_originals/keccakRound_MACROPARAMS-rsp_rdi_0x0_1__SPLITPARAMS-4_1_8_2.s,98.25,186.0,51.0
keccakRound_translated_originals/keccakRound_MACROPARAMS-rsp_rdi_0x0_1__SPLITPARAMS-5_1_10_1.s,99.0,186.0,52.0
keccakRound_translated_originals/keccakRound_MACROPARAMS-rsp_rdi_0x0_1__SPLITPARAMS-5_1_10_2.s,103.0,186.0,53.0
keccakRound_translated_originals/keccakRound_MACROPARAMS-rsp_rdi_0x0_1__SPLITPARAMS-5_1_10_3.s,103.25,186.0,53.0
keccakRound_translated_originals/keccakRound_MACROPARAMS-rsp_rdi_0x0_1__SPLITPARAMS-6_1_12_1.s,102.25,186.0,52.0
keccakRound_translated_originals/keccakRound_MACROPARAMS-rsp_rdi_0x0_1__SPLITPARAMS-6_1_12_2.s,98.0,186.0,51.0
keccakRound_translated_originals/keccakRound_MACROPARAMS-rsp_rdi_0x0_1__SPLITPARAMS-6_1_12_3.s,106.0,186.0,53.0
